Date,Week_Numeric,Week_String,Sleep_Metric_Type,Value_in_Seconds,Rested
8/11/2024,1,Sunday,Sleep Duration,10800,No
8/12/2024,2,Monday,Sleep Duration,24600,Yes
8/13/2024,3,Tuesday,Sleep Duration,26400,Yes
8/14/2024,4,Wednesday,Sleep Duration,20100,No
8/15/2024,5,Thursday,Sleep Duration,32100,No
8/16/2024,6,Friday,Sleep Duration,26100,Yes
8/17/2024,7,Saturday,Sleep Duration,32220,No
8/18/2024,1,Sunday,Sleep Duration,26160,No
8/19/2024,2,Monday,Sleep Duration,29040,No
8/20/2024,3,Tuesday,Sleep Duration,22560,No
8/21/2024,4,Wednesday,Sleep Duration,30600,Yes
8/22/2024,5,Thursday,Sleep Duration,29400,No
8/23/2024,6,Friday,Sleep Duration,25200,No
8/24/2024,7,Saturday,Sleep Duration,27660,No
8/25/2024,1,Sunday,Sleep Duration,29400,Yes
8/26/2024,2,Monday,Sleep Duration,28800,Yes
8/27/2024,3,Tuesday,Sleep Duration,25560,Yes
8/28/2024,4,Wednesday,Sleep Duration,27300,No
8/29/2024,5,Thursday,Sleep Duration,28860,Yes
8/30/2024,6,Friday,Sleep Duration,32760,No
8/31/2024,7,Saturday,Sleep Duration,32100,No
9/1/2024,1,Sunday,Sleep Duration,28800,No
9/2/2024,2,Monday,Sleep Duration,30960,Yes
9/3/2024,3,Tuesday,Sleep Duration,22560,No
9/4/2024,4,Wednesday,Sleep Duration,28020,No
9/6/2024,6,Friday,Sleep Duration,28380,No
9/7/2024,7,Saturday,Sleep Duration,23880,No
9/8/2024,1,Sunday,Sleep Duration,33960,No
9/9/2024,2,Monday,Sleep Duration,29100,No
9/10/2024,3,Tuesday,Sleep Duration,28440,Yes
9/11/2024,4,Wednesday,Sleep Duration,27300,Yes
9/12/2024,5,Thursday,Sleep Duration,26220,Yes
9/13/2024,6,Friday,Sleep Duration,30240,No
9/14/2024,7,Saturday,Sleep Duration,24900,Yes
9/15/2024,1,Sunday,Sleep Duration,29460,Yes
9/16/2024,2,Monday,Sleep Duration,29040,Yes
9/17/2024,3,Tuesday,Sleep Duration,25320,No
9/18/2024,4,Wednesday,Sleep Duration,32700,No
9/19/2024,5,Thursday,Sleep Duration,28200,No
9/20/2024,6,Friday,Sleep Duration,30180,Yes
9/21/2024,7,Saturday,Sleep Duration,27180,Yes
9/22/2024,1,Sunday,Sleep Duration,28320,Yes
